id,english_name,spanish_name,category,subtype,role_in_story,logline_usage,dramatic_function,arc_phase_affinity,scene_type_affinity,primary_genres,secondary_genres,tone_seriousness,tone_darkness,tone_stylization,humor_presence,emotional_core,moral_axis,character_change_potential,narrative_scale,conflict_type,stakes_level,default_periods,default_settings,period_flexibility,worldbuilding_requirement,sensitivity_tags,rating_floor,hays_code_relevant,professional_notes,examples_reference,script_usage_notes,production_implications,source,curation_status,tags_engine,priority_for_generation,version
ANTAGONIST_DEFEATED_EVIL_PERSISTS,Antagonist Defeated but Evil Persists,Derrota del antagonista pero el mal persiste,FINALE,open_ending;bittersweet,ending,"El antagonista principal es vencido, pero la fuerza o sistema maligno subyacente permanece.","Crear sensación de victoria parcial y continuidad del conflicto más allá de la película.",climax;epilogue,confrontation;Intimate_dialogue;visual_motif,DRAMA;THRILLER;FANTASY,CRIME_DRAMA,4,4,naturalistic;heightened_stylized,none,"relief;unease","justice_vs_injustice;hope_vs_despair",major,community;national;global,warfare;social;supernatural,4,variable,ANY_SETTING,high,low,"violence","PG-13;R",false,"Final muy útil para sagas o historias con lectura política/fantástica amplia.","","Definir con precisión qué se ha ganado y qué queda pendiente para evitar sensación de 'trampa' al público.",Impacto moderado en producción (requiere epílogo visual claro); ideal para franquicia o secuelas.,script_theory_extended,validated,"bittersweet;ongoing_evil;partial_victory",0.85,1
BITTERSWEET_ENDING,Bittersweet Ending,Final agridulce,FINALE,bittersweet,ending,"El protagonista logra algo importante, pero pierde otra cosa de gran valor.","Ofrecer cierre emocional complejo, evitando tanto el triunfo total como la tragedia absoluta.",climax;epilogue,Intimate_dialogue;family_scene,DRAMA;ROMANCE,DRAMEDY,3,3,naturalistic,none,"sadness;hope","self_vs_community",major,personal;family,internal;relational,3,20th_century;contemporary,ANY_SETTING,high,low,"","PG-13;R",false,"Final muy apreciado en cine autoral y dramas de prestigio; se siente 'verdadero' si está bien preparado.",,"Cuidar que la pérdida y la ganancia tengan pesos dramáticos comparables; evitar que parezca final neutro.",Producción sencilla; se decide sobre escenas finales y tono de música/imágenes.,script_theory_extended,validated,"bittersweet;gain_and_loss;adult_tone",0.9,1
DOWNER_ENDING,Downer Ending,Final pesimista / triste,FINALE,tragedy,ending,"El protagonista fracasa en su objetivo o muere, y el balance final es negativo.","Generar impacto fuerte y posible reflexión; típico de tragedias, cine negro o war films duros.",climax;epilogue,Intimate_dialogue;visual_motif;survival_sequence,DRAMA;WAR;THRILLER,ART_HOUSE,5,4,naturalistic,none,"despair;shock","hope_vs_despair",major,personal;community;national,warfare;social;internal,4,variable,ANY_SETTING,medium,low,"","R",true,"Final arriesgado comercialmente pero muy potente artísticamente; requiere sembrar la posibilidad desde el inicio.",,"Evitar que parezca castigo arbitrario; que la trayectoria del personaje haga el final inevitable o coherente.",Producción estándar; el peso está en interpretación y construcción del arco más que en recursos físicos.,script_theory_extended,validated,"tragedy;loss;bleak",0.75,1
HAPPY_ENDING,Happy Ending,Final feliz,FINALE,closed_positive,ending,"El protagonista alcanza su objetivo principal y se sugiere futuro positivo.","Dar sensación de satisfacción y cierre; muy usado en romance, comedia y aventura familiar.",climax;epilogue,Intimate_dialogue;family_scene;celebration,ROMANCE;COMEDY;ADVENTURE,FAMILY,2,1,naturalistic;heightened_stylized,light,"joy;relief","self_vs_community",major,personal;family,internal;relational,2,20th_century;contemporary;fantasy,ANY_SETTING,high,low,"","PG;PG-13",false,"Final más comercial y ampliamente aceptado; útil para películas de amplio público.",,"Asegurar que la felicidad no parezca 'pegada' al final: que se derive de decisiones y reconciliaciones reales.",Producción sencilla; a menudo implica boda, reunión o celebración.,script_theory_extended,validated,"happy;closure;optimistic",1.0,1
HOLLOW_VICTORY,Hollow Victory,Victoria hueca,FINALE,ironic;bittersweet,ending,"El protagonista logra su objetivo, pero el coste hace que la victoria se sienta vacía.","Invitar a lectura crítica sobre el objetivo perseguido y sus consecuencias.",climax;epilogue,Intimate_dialogue;visual_motif,DRAMA;THRILLER;WAR,CRIME_DRAMA,4,4,naturalistic,none,"sadness;regret","self_vs_community;honesty_vs_corruption",major,personal;community,national;global,internal;social;warfare,4,variable,ANY_SETTING,medium,low,"","R",false,"Final muy poderoso en historias sobre ambición, poder o guerra; deja sensación de '¿valía la pena?'.",,"Sembrar desde el inicio dudas sobre el objetivo; que el propio protagonista reconozca el hueco al final.",Producción estándar; clave en música, encuadres finales y actuación.,script_theory_extended,validated,"ironic_victory;costly_success;reflection",0.85,1
OPEN_ENDING,Open Ending,Final abierto,FINALE,ambiguous,ending,"El conflicto principal se resuelve parcialmente o queda interpretativamente abierto.","Dejar preguntas en manos del espectador; muy usado en cine autoral y thrillers con ambigüedad.",climax;epilogue,Intimate_dialogue;visual_motif,DRAMA;THRILLER,ART_HOUSE,3,3,naturalistic;heightened_stylized,none,"curiosity;unease","self_vs_community",major,personal;community,internal;social,3,variable,ANY_SETTING,high,low,"","PG-13;R",false,"Final exigente; puede frustrar parte del público si no se percibe como coherente con el tono general.",,"Definir internamente (para guionista) qué ha ocurrido exactamente, aunque la puesta en escena deje dudas.",Sin grandes implicaciones de producción; todo está en escritura y montaje.",script_theory_extended,validated,"ambiguous;open;arthouse",0.8,1
REDEMPTIVE_ENDING,Redemptive Ending,Final de redención,FINALE,closed_positive;spiritual,ending,"Un personaje encuentra redención moral o personal, aunque no logre todos sus objetivos externos.","Cerrar arco de culpa y perdón; muy efectivo en dramas y war films humanistas.",climax;epilogue,Intimate_dialogue;family_scene;visual_motif,DRAMA;WAR,RELIGIOUS_DRAMA,4,3,naturalistic,none,"hope;relief","hope_vs_despair;justice_vs_injustice",major,personal;community,internal;social,3,20th_century;contemporary;war_settings,ANY_SETTING,high,low,"","PG-13;R",false,"Final que privilegia transformación interna por encima de éxito externo; conecta bien con público adulto.",,"Mostrar gesto o decisión que simbolice la redención sin caer en discurso subrayado en exceso.",Producción estándar; se apoya en actuación y tono visual del epílogo.",script_theory_extended,validated,"redemption;forgiveness;spiritual",0.9,1
TRAGIC_HEROIC_DEATH,Tragic Heroic Death,Muerte heroica trágica,FINALE,tragedy;heroic,ending,"El protagonista muere al realizar un acto heroico decisivo.","Combina sacrificio y pérdida; frecuente en épica bélica y fantasía.",climax,action_setpiece;Intimate_dialogue,WAR;FANTASY;SUPERHERO,DRAMA,5,4,heightened_stylized,none,"grief;admiration","self_vs_community",major,personal;community;national,warfare;internal,5,variable,ANY_SETTING,medium,low,"","PG-13;R",true,"Final muy emotivo; debe construirse desde el inicio para que el sacrificio se sienta inevitable y sentido.",,"Asegurar que el acto heroico tiene peso real sobre la resolución; no solo muerte decorativa.",Impacto en coreografía del clímax y epílogo (funeral, memoria); producción medio-alta.",script_theory_extended,validated,"heroic_death;sacrifice;tragedy",0.9,1
TWIST_ENDING,Twist Ending,Final con giro sorpresa,FINALE,twist;revelation,ending,"En el último tramo se revela información que reconfigura la lectura de la historia.","Generar impacto y conversación; típico de thrillers, terror y algunos dramas psicológicos.",climax;epilogue,revelation;flashback,THRILLER;HORROR,MYSTERY,4,3,naturalistic;heightened_stylized,none,"shock;curiosity","honesty_vs_corruption",major,personal;community,internal;social,3,variable,ANY_SETTING,high,low,"","PG-13;R",false,"El giro debe estar preparado con pistas sutiles; de lo contrario se percibe como truco barato.",,"Testear lógica interna del twist y su impacto emocional antes de cerrar el guion.",Puede implicar rodar planos adicionales o dobles lecturas; presupuesto moderado.",script_theory_extended,validated,"twist;reveal;reframing",0.85,1
ALL_DIE_ENDING,All Die Ending,Todos mueren,FINALE,total_tragedy,ending,"La mayoría o todos los personajes principales mueren.","Producir impacto extremo y lectura nihilista o profundamente trágica.",climax;epilogue,action_setpiece;Intimate_dialogue;visual_motif,DRAMA;WAR;HORROR,ART_HOUSE,5,5,naturalistic,none,"despair;shock","hope_vs_despair",major,community;national,warfare;social,5,variable,ANY_SETTING,medium,low,"","R;NC-17",true,"Final muy radical; conviene reservarlo para historias cuyo tono y tema lo hagan coherente (catástrofes, apocalipsis, tragedia pura).","", "Sembrar sensación de inevitabilidad desde el inicio para que no parezca giro gratuito contra el público.",Producción estándar; el peso está en montaje y música final para que no suene a explotación.,script_theory_extended,validated,"everyone_dies;nihilistic;apocalypse",0.6,1
