id,english_name,spanish_name,category,subtype,role_in_story,logline_usage,dramatic_function,arc_phase_affinity,scene_type_affinity,primary_genres,secondary_genres,tone_seriousness,tone_darkness,tone_stylization,humor_presence,emotional_core,moral_axis,character_change_potential,narrative_scale,conflict_type,stakes_level,default_periods,default_settings,period_flexibility,worldbuilding_requirement,sensitivity_tags,rating_floor,hays_code_relevant,professional_notes,examples_reference,script_usage_notes,production_implications,source,curation_status,tags_engine,priority_for_generation,version
ANGRY_BOSS,Angry Boss,Jefe iracundo,SUPPORTING_CHARACTER,workplace_antagonist,supporting;"antagonist","Un jefe explosivo presiona al protagonista más allá de lo razonable.","Generar conflicto laboral, elevar stakes cotidianos y aportar tensión en escenas de trabajo.",setup;first_plot_point;midpoint,confrontation;comic_relief,DRAMA;COMEDY,DRAMEDY,3,2,naturalistic,light,"frustration;fear","self_vs_community;freedom_vs_oppression",minor;major,personal;community,relational;institutional,2,20th_century;contemporary,MODERN_AMERICAN_CITY;MODERN_EUROPEAN_CITY,high,low,"","PG-13",false,"Secundario típico en relatos de oficina; puede ser antagonista menor o fuente de comedia.","","Usar sus estallidos para marcar puntos de presión narrativa, evitando que eclipse al antagonista principal.","Presupuesto bajo; decorados de oficina y actor con buena vis cómica.",script_theory_extended,validated,"boss;workplace;pressure",0.7,1
ANNOYING_SUITOR,Annoying Suitor,Pretendiente inoportuno,SUPPORTING_CHARACTER,romantic_obstacle,supporting;"antagonist","Un pretendiente persistente complica o bloquea la historia romántica del protagonista.","Aportar obstáculo ligero o medio en tramas románticas; permite comedia y conflicto.",first_plot_point;midpoint,comic_relief;Intimate_dialogue,ROMANCE;COMEDY,DRAMEDY,2,2,naturalistic,light,"annoyance;jealousy","self_vs_community",minor,personal,relational,2,20th_century;contemporary,MODERN_AMERICAN_CITY;MODERN_EUROPEAN_CITY,high,low,"","PG-13",false,"Recurso habitual en comedias románticas; conviene darle rasgos humanos para evitar caricatura plana.","","Usarlo para revelar rasgos del protagonista (paciencia, límites, forma de decir 'no').","Presupuesto bajo; se apoya en química y timing cómico.",script_theory_extended,validated,"romantic_obstacle;comedy;triangle",0.65,1
BROTHER_IN_ARMS,Brother in Arms,Camarada de armas,SUPPORTING_CHARACTER,ally;soldier,supporting,"Un compañero de combate acompaña al protagonista en la guerra.","Proporcionar apoyo emocional, ser espejo del protagonista y reforzar temas de camaradería.",setup;midpoint;climax,action_setpiece;Intimate_dialogue,DRAMA;WAR,THRILLER,4,4,naturalistic,light,"fear;loyalty","duty_vs_desire;self_vs_community",major,community;national,warfare;internal,4,20th_century,GREAT_WAR;WW2_EUROPE;WW2_PACIFIC;WW2_AFRICA,medium,high,"war","R",true,"Secundario fundamental en historias bélicas; puede ser vehículo para muertes significativas.","","Dar rasgos propios claros y escenas compartidas que hagan que su eventual destino impacte.","Requiere presencia en escenas de acción; presupuesto medio.",script_theory_extended,validated,"ally;war;comrade",0.8,1
BUTLER,Butler,Mayordomo,SUPPORTING_CHARACTER,service_role;sage,supporting,"Un mayordomo sirve y observa dinámicas familiares o de poder en entornos aristocráticos.","Aportar información, ironía y perspectiva discreta sobre conflictos de clase y familia.",setup;midpoint,Intimate_dialogue;comic_relief,HISTORICAL;DRAMA,DRAMEDY,3,2,naturalistic,light,"loyalty;resignation","self_vs_community",minor,personal;family,relational;social,2,19th_century;early_20th,VICTORIAN_ENGLAND;ARTHURIAN_LEGENDS;MANOR_SETTINGS,medium,medium,"","PG-13",false,"Elemento clásico en dramas de mansión; puede funcionar como confidente del protagonista.","","Decidir si es neutral, aliado o antagonista suave y mantener esa posición coherente.","Vestuario y decorados de época; presupuesto medio.",script_theory_extended,validated,"servant;family;class",0.7,1
CONCERNED_WIFE,Concerned Wife,Esposa preocupada,SUPPORTING_CHARACTER,family_ally,supporting,"La pareja del protagonista se preocupa por las decisiones y riesgos que este asume.","Aumentar stakes emocionales y mostrar impacto del conflicto en la vida íntima.",setup;midpoint;second_plot_point,Intimate_dialogue;family_scene,DRAMA,DRAMEDY,4,3,naturalistic,none,"fear;love","self_vs_community",major,personal;family,relational,3,20th_century;contemporary,MODERN_AMERICAN_TOWN;MODERN_EUROPEAN_TOWN,high,low,"","PG-13",false,"Secundario crucial para humanizar protagonistas involucrados en conflictos de alto riesgo.","","Evitar usarla solo como 'objeción genérica'; darle punto de vista y necesidades propias.","Presupuesto bajo; localizaciones domésticas.",script_theory_extended,validated,"spouse;family;stakes",0.75,1
DAMSEL_IN_DISTRESS,Damsel in Distress,Dama en apuros,SUPPORTING_CHARACTER,person_in_peril,supporting;"objective","Una persona en peligro cuyo rescate o protección impulsa la acción.","Generar objetivo claro y urgencia; recurso clásico en aventuras y thrillers.",inciting_incident;first_plot_point;midpoint;climax,action_setpiece;confrontation,ADVENTURE;ACTION;THRILLER,DRAMA,3,3,heightened_stylized,light,"fear;hope","self_vs_community",minor;major,personal;community,warfare;relational,3,20th_century;contemporary;fantasy,WILD_WEST;FANTASY_KINGDOM;MODERN_AMERICAN_CITY,high,medium,"violence","PG-13",true,"Arquetipo clásico que conviene actualizar evitando pasividad excesiva; puede ganar agencia propia.","","Dotar al personaje de deseos y capacidades, no solo función de 'botín' o 'carga'.","Presupuesto variable según tipo de secuencia de rescate.",script_theory_extended,validated,"rescue;hostage;stakes",0.7,1
FEMME_FATALE,Femme Fatale,Mujer fatal,SUPPORTING_CHARACTER,seductive_enemy;swing_character,supporting;"antagonist","Una mujer seductora y peligrosa envuelve al protagonista en una trama de engaños.","Aportar ambigüedad, deseo y riesgo; central en noir y thrillers eróticos.",first_plot_point;midpoint;second_plot_point,Intimate_dialogue;seduction_scene;revelation,THRILLER;DETECTIVE,NOIR;CRIME_DRAMA,4,4,heightened_stylized,light,"desire;fear","honesty_vs_corruption;self_vs_community",major,personal;community,relational;social,4,20th_century;contemporary,MODERN_AMERICAN_CITY;MODERN_EUROPEAN_CITY,high,low,"sexual_content","R",true,"Figura clásica del noir; puede ser protagonista, antagonista o secundaria clave.","","Evitar el cliché misógino; trabajar su psicología y motivaciones más allá de 'destruir hombres'.","Presupuesto medio; se apoya en puesta en escena y diálogos intensos.",script_theory_extended,validated,"noir;seduction;danger",0.8,1
FIRST_VICTIM,First Victim,Primera víctima,SUPPORTING_CHARACTER,victim,supporting,"La primera persona atacada o asesinada en una historia de thriller u horror.","Establecer el tono de peligro y mostrar el modus operandi del antagonista.",inciting_incident,opening_scene;survival_sequence,HORROR;THRILLER,CRIME_DRAMA,4,4,naturalistic;heightened_stylized,none,"fear;shock","justice_vs_injustice",minor,community,warfare;social,3,20th_century;contemporary,MODERN_AMERICAN_CITY;MODERN_EUROPEAN_CITY,high,low,"violence","R",true,"Aunque su arco sea breve, conviene dar cierto rasgo humano para que el impacto sea mayor.","","Usar su escena para clarificar reglas de peligro sin sobreexplotar violencia.","Presupuesto bajo-medio; FX según tipo de muerte.",script_theory_extended,validated,"victim;opening_kill;tone_setter",0.8,1
KEY_WITNESS,Key Witness,Testigo clave,SUPPORTING_CHARACTER,plot_pivot,supporting,"Un testigo posee información crucial para resolver caso o desenmascarar antagonista.","Servir de motor de trama en thrillers y dramas judiciales; elevar stakes de protección.",midpoint;second_plot_point;climax,Intimate_dialogue;confrontation,THRILLER;DETECTIVE,LEGAL_DRAMA,4,3,naturalistic,none,"fear;anxiety","honesty_vs_corruption;self_vs_community",major,personal;community,relational;institutional,4,20th_century;contemporary,MODERN_AMERICAN_CITY;MODERN_EUROPEAN_CITY,high,low,"","PG-13",false,"Personaje funcional pero crítico; su seguridad suele conectar directamente con el clímax.","","Dar personalidad y dilemas propios (miedo, ambición, culpa) para que no sea solo 'plot device'.","Presupuesto bajo; decorados de comisaría, juzgado, refugio.",script_theory_extended,validated,"witness;trial;protection",0.85,1
LOVE_INTEREST,Love Interest,Interés romántico,SUPPORTING_CHARACTER,romantic_partner,supporting;"objective","Persona con la que el protagonista establece o desea establecer relación amorosa.","Eje emotivo de tramas románticas y subtramas en otros géneros.",setup;first_plot_point;midpoint;climax,Intimate_dialogue;comic_relief;confrontation,ROMANCE;DRAMA,DRAMEDY,3,2,naturalistic,light,"love;longing","self_vs_community",major,personal,relational,2,20th_century;contemporary,MODERN_AMERICAN_CITY;MODERN_EUROPEAN_CITY,high,low,"","PG-13",false,"Secundario central, a veces coprotagonista; su arco debe tener coherencia propia.","","Evitar convertirlo en mero premio; darle decisiones relevantes que afecten la trama.","Presupuesto bajo; centrado en química y escenas íntimas.",script_theory_extended,validated,"romantic_partner;love_story;subplot",0.9,1
