id,english_name,spanish_name,category,subtype,role_in_story,logline_usage,dramatic_function,arc_phase_affinity,scene_type_affinity,primary_genres,secondary_genres,tone_seriousness,tone_darkness,tone_stylization,humor_presence,emotional_core,moral_axis,character_change_potential,narrative_scale,conflict_type,stakes_level,default_periods,default_settings,period_flexibility,worldbuilding_requirement,sensitivity_tags,rating_floor,hays_code_relevant,professional_notes,examples_reference,script_usage_notes,production_implications,source,curation_status,tags_engine,priority_for_generation,version
THEME_AVENGING_LOVED_ONES,Avenging Loved Ones,Vengar a un ser querido,THEME,moral_theme,theme,"Un personaje busca vengar el daño o muerte de alguien querido.","Proporcionar motivación fuerte y clara; sostiene relatos de venganza y justicia personal.",inciting_incident;first_plot_point;midpoint;second_plot_point;climax,confrontation;action_setpiece;Intimate_dialogue,DRAMA;ACTION;THRILLER,CRIME_DRAMA,4,4,naturalistic;heightened_stylized,none,"anger;grief","justice_vs_injustice;self_vs_community",major,personal;community,internal;relational;warfare,5,20th_century;contemporary;war_settings,ANY_SETTING,high,low,"violence","PG-13;R",true,"Tema muy usado en cine comercial; fácil de comunicar en logline y trailers.","","Cuidar que la venganza transforme al personaje (para bien o para mal), no solo sea cadena de set pieces.",Presupuesto variable; depende de escala de acción asociada.",script_theory_extended,validated,"revenge;loss;justice",0.9,1
THEME_A_CURSE,A Curse,Una maldición,THEME,supernatural_theme,theme,"Una maldición condiciona la vida de personajes o comunidad.","Introduce dimensión sobrenatural de destino y castigo; útil en horror y fantasía.",inciting_incident;first_plot_point;midpoint;climax,supernatural_event;revelation,HORROR;FANTASY,THRILLER,4,4,heightened_stylized,none,"fear;despair","hope_vs_despair;justice_vs_injustice",major,personal;community,supernatural;internal,4,ancient;fantasy,ANCIENT_EUROPE;FANTASY_KINGDOM,medium,high,"","PG-13;R",true,"Tema clásico de cuentos y leyendas; puede funcionar como metáfora de culpa heredada o trauma.",,"Definir origen y condiciones de la maldición y cómo se puede romper o aceptar.",FX moderados y diseño simbólico; presupuesto medio.,script_theory_extended,validated,"curse;fate;supernatural",0.85,1
THEME_DESTRUCTIVE_ROMANCE,Destructive Romance,Romance destructivo,THEME,romantic_theme,theme,"Una relación romántica intensa acaba dañando a los implicados.","Explorar amor tóxico, dependencia y sacrificios mal dirigidos.",first_plot_point;midpoint;second_plot_point;climax,Intimate_dialogue;confrontation,DRAMA;ROMANCE,DRAMEDY,4,4,naturalistic,none,"love;despair","self_vs_community",major,personal;community,internal;relational,3,20th_century;contemporary,MODERN_AMERICAN_CITY;MODERN_EUROPEAN_CITY,high,low,"sexual_content","PG-13;R",true,"Tema frecuente en dramas serios; requiere mostrar tanto atracción como daño progresivo.","","Evitar glorificar la toxicidad; cuidar la mirada ética sobre la relación.",Presupuesto bajo; centrado en interpretación y espacios cotidianos.",script_theory_extended,validated,"toxic_love;dependency;tragedy",0.8,1
THEME_EVIL_TRANSFORMATION,Evil Transformation,Transformación al mal,THEME,character_arc_theme,theme,"Alguien se transforma progresivamente en una versión maligna de sí mismo.","Permite explorar corrupción moral, poder y caída de un héroe o aliado.",midpoint;second_plot_point;climax,Intimate_dialogue;confrontation,DRAMA;THRILLER;FANTASY,CRIME_DRAMA,4,4,heightened_stylized,none,"pride;fear","honesty_vs_corruption;hope_vs_despair",major,personal;community,internal;social,4,variable,ANY_SETTING,high,low,"","PG-13;R",false,"Tema fuerte para arcos de villano o antihero; exige trazado cuidadoso de escalones de corrupción.","","Mostrar pequeñas decisiones que parecen justificables y acumulan el cambio, evitando salto brusco inverosímil.",Presupuesto variable; depende de género y visualización del cambio.",script_theory_extended,validated,"corruption;fall_from_grace;villain_origin",0.85,1
THEME_FIGHT_FOR_FREEDOM,Fight for Freedom,Lucha por la libertad,THEME,moral_theme;political_theme,theme,"Personajes luchan contra opresión para obtener libertad personal o colectiva.","Sostiene relatos épicos y dramas políticos; conecta fácilmente con el público.",first_plot_point;midpoint;second_plot_point;climax,battle;confrontation;montage,WAR;DRAMA;FANTASY,THRILLER,4,4,naturalistic;heightened_stylized,none,"hope;anger","freedom_vs_oppression;self_vs_community",major,community;national;global,warfare;social,5,ancient;middle_ages;20th_century;near_future,ANCIENT_ROME;MIDDLE_AGES;WW2_EUROPE;DYSTOPIAN_FUTURISTIC_CITY,medium,high,"war","PG-13;R",true,"Tema muy potente y clásico; ideal para historias de revolución, resistencia y independencia.","","Anclar la lucha en personajes concretos y sus pérdidas para evitar abstracción propagandística.",Producción medio-alta; batallas, manifestaciones, símbolos.",script_theory_extended,validated,"freedom;revolution;resistance",0.9,1
THEME_FRAGMENTED_NARRATIVE,Fragmented Narrative,Narrativa fragmentada,THEME,structural_theme,theme,"La historia se cuenta de forma no lineal o fragmentada.","Permite trabajar memoria, subjetividad y misterio; más típico de cine autoral.",setup;throughline;midpoint;climax,flashback;revelation,DRAMA;THRILLER,ART_HOUSE,4,3,naturalistic;heightened_stylized,none,"curiosity;confusion","self_vs_community",major,personal;community,internal,3,variable,ANY_SETTING,high,low,"","PG-13",false,"Dispositivo exigente; requiere gran cuidado en montaje y claridad interna.","","Asegurar que cada fragmento añade información emocional, no solo juegos formales.",Puede aumentar costes de rodaje por multiplicidad de tiempos y lugares.",script_theory_extended,validated,"nonlinear;memory;subjective",0.7,1
THEME_FROM_SMALL_TOWN_TO_BIG_TIME,From Small Town to Big Time,Del pueblo a la gran ciudad,THEME,social_theme;coming_of_age,theme,"Alguien deja un entorno pequeño para perseguir sueños en un contexto mayor.","Explorar movilidad social, choque cultural y redefinición de identidad.",setup;first_plot_point;midpoint;climax,montage;Intimate_dialogue,DRAMA;ROMANCE;COMEDY,DRAMEDY,3,2,naturalistic,light,"hope;fear","self_vs_community",major,personal;community,internal;social,3,20th_century;contemporary,SMALL_TOWN_SETTINGS;MODERN_AMERICAN_CITY;MODERN_EUROPEAN_CITY,high,low,"","PG-13",false,"Tema base de muchos relatos de ascenso vital y profesional.","","Evitar simplificar ciudad=éxito, pueblo=atraso; trabajar ambivalencias.",Presupuesto bajo-medio; road trips y cambios de localización.",script_theory_extended,validated,"small_town_vs_city;ambition;coming_of_age",0.8,1
THEME_GENERATIONAL_CONFLICT,Generational Conflict,Conflicto generacional,THEME,family_theme,theme,"Generaciones distintas chocan en valores, expectativas y formas de vida.","Sostiene dramas familiares y comedias sobre padres/hijos.",setup;midpoint;climax,Intimate_dialogue;family_scene,DRAMA;COMEDY,DRAMEDY,3,2,naturalistic,light,"frustration;love","self_vs_community;freedom_vs_oppression",major,personal;family,relational;social,3,20th_century;contemporary,MODERN_EUROPEAN_TOWN;MODERN_AMERICAN_TOWN,high,low,"","PG-13",false,"Tema universal y flexible; funciona en casi cualquier entorno cultural.",,"Dar voz y razones comprensibles a ambas generaciones para evitar caricaturas.",Presupuesto bajo; centrado en interpretación.",script_theory_extended,validated,"generation_gap;family;values",0.85,1
THEME_GOLD_FEVER,Gold Fever,Fiebre del oro,THEME,social_theme;greed_theme,theme,"La codicia desatada por riqueza potencial mueve a personajes a extremos.","Explorar obsesión y degradación moral asociada al dinero.",first_plot_point;midpoint;second_plot_point,confrontation;montage,WESTERN;DRAMA,ADVENTURE,4,3,naturalistic;heightened_stylized,none,"desire;greed","honesty_vs_corruption;self_vs_community",major,community;national,internal;social,4,19th_century;historical;near_future,WILD_WEST;ANCIENT_GREECE;RESOURCE_RUSH_SETTINGS,medium,medium,"","PG-13;R",true,"Tema clásico; se puede actualizar con criptomonedas, real estate o tech boom.","","Mostrar escalada de riesgos y pérdidas que acompañan la fiebre.",Producción media; depende del contexto económico usado.",script_theory_extended,validated,"greed;gold_rush;obsession",0.8,1
THEME_GREED,Greed,Codicia,THEME,moral_theme;character_flaw,theme,"La avaricia guía decisiones clave de personajes.","Ofrecer motor interno para conflictos y traiciones; útil en drama, thriller y comedia negra.",first_plot_point;midpoint;second_plot_point,Intimate_dialogue;confrontation,DRAMA;THRILLER;COMEDY,CRIME_DRAMA,4,3,naturalistic,light,"desire;frustration","honesty_vs_corruption",major,personal;community,internal;social,3,variable,ANY_SETTING,high,low,"","PG-13;R",false,"Tema sencillo pero potente; mejor si se encarna en decisiones concretas más que en diálogos abstractos.","","Cuidar arco: que la codicia tenga consecuencias definidas, no solo anécdotas.",Presupuesto variable; adaptable a cualquier escala.",script_theory_extended,validated,"greed;flaw;corruption",0.85,1
